card_id,section_id,card_scope,price_segment,component_type,card_order,kpi_id,kpi_label_el,group,source_metric,raw_value,display_value,value_type,source_table
card_segment_υψηλi_segment_Υψηλή_share_pct,segment_profile,segment,Υψηλή,kpi_card,2,segment_Υψηλή_share_pct,Ποσοστό συμμετοχής,Μέγεθος segment,share_pct,24.94,24.94%,percentage,notebook5_price_segment_counts + notebook5_segment_profile_summary
card_segment_υψηλi_segment_Υψηλή_median_horsepower,segment_profile,segment,Υψηλή,kpi_card,3,segment_Υψηλή_median_horsepower,Διάμεση ιπποδύναμη,Τεχνικά χαρακτηριστικά,median_horsepower,306.0,306 hp,horsepower,notebook5_price_segment_counts + notebook5_segment_profile_summary
card_segment_υψηλi_segment_Υψηλή_median_engine_size,segment_profile,segment,Υψηλή,kpi_card,4,segment_Υψηλή_median_engine_size,Διάμεσος κυβισμός,Τεχνικά χαρακτηριστικά,median_engine_size,2000.0,"2,000 cc",engine_size,notebook5_price_segment_counts + notebook5_segment_profile_summary
card_segment_υψηλi_segment_Υψηλή_mean_horsepower,segment_profile,segment,Υψηλή,kpi_card,5,segment_Υψηλή_mean_horsepower,Μέση ιπποδύναμη,Τεχνικά χαρακτηριστικά,mean_horsepower,326.37,326 hp,horsepower,notebook5_price_segment_counts + notebook5_segment_profile_summary
card_segment_υψηλi_segment_Υψηλή_mean_engine_size,segment_profile,segment,Υψηλή,kpi_card,6,segment_Υψηλή_mean_engine_size,Μέσος κυβισμός,Τεχνικά χαρακτηριστικά,mean_engine_size,2266.44,"2,266 cc",engine_size,notebook5_price_segment_counts + notebook5_segment_profile_summary
card_segment_υψηλi_segment_Υψηλή_median_price,segment_profile,segment,Υψηλή,kpi_card,7,segment_Υψηλή_median_price,Διάμεση τιμή,Τιμή,median_price,58000.0,"€58,000",currency,notebook5_price_segment_counts + notebook5_segment_profile_summary
card_segment_υψηλi_segment_Υψηλή_mean_price,segment_profile,segment,Υψηλή,kpi_card,8,segment_Υψηλή_mean_price,Μέση τιμή,Τιμή,mean_price,73234.27,"€73,234",currency,notebook5_price_segment_counts + notebook5_segment_profile_summary
card_segment_υψηλi_segment_Υψηλή_median_age,segment_profile,segment,Υψηλή,kpi_card,9,segment_Υψηλή_median_age,Διάμεση ηλικία,Χρήση οχήματος,median_age,4.0,4.0 έτη,age,notebook5_price_segment_counts + notebook5_segment_profile_summary
card_segment_υψηλi_segment_Υψηλή_median_mileage,segment_profile,segment,Υψηλή,kpi_card,10,segment_Υψηλή_median_mileage,Διάμεση χιλιομετρική κάλυψη,Χρήση οχήματος,median_mileage,35500.0,"35,500 km",mileage,notebook5_price_segment_counts + notebook5_segment_profile_summary
card_segment_υψηλi_segment_Υψηλή_mean_age,segment_profile,segment,Υψηλή,kpi_card,11,segment_Υψηλή_mean_age,Μέση ηλικία,Χρήση οχήματος,mean_age,3.43,3.4 έτη,age,notebook5_price_segment_counts + notebook5_segment_profile_summary
card_segment_υψηλi_segment_Υψηλή_mean_mileage,segment_profile,segment,Υψηλή,kpi_card,12,segment_Υψηλή_mean_mileage,Μέση χιλιομετρική κάλυψη,Χρήση οχήματος,mean_mileage,44838.38,"44,838 km",mileage,notebook5_price_segment_counts + notebook5_segment_profile_summary
card_segment_χαμηλi_segment_Χαμηλή_n_observations,segment_profile,segment,Χαμηλή,kpi_card,1,segment_Χαμηλή_n_observations,Αριθμός παρατηρήσεων,Μέγεθος segment,n_observations,2077.0,"2,077",integer,notebook5_price_segment_counts + notebook5_segment_profile_summary
card_segment_χαμηλi_segment_Χαμηλή_share_pct,segment_profile,segment,Χαμηλή,kpi_card,2,segment_Χαμηλή_share_pct,Ποσοστό συμμετοχής,Μέγεθος segment,share_pct,25.04,25.04%,percentage,notebook5_price_segment_counts + notebook5_segment_profile_summary
card_segment_χαμηλi_segment_Χαμηλή_median_horsepower,segment_profile,segment,Χαμηλή,kpi_card,3,segment_Χαμηλή_median_horsepower,Διάμεση ιπποδύναμη,Τεχνικά χαρακτηριστικά,median_horsepower,100.0,100 hp,horsepower,notebook5_price_segment_counts + notebook5_segment_profile_summary
card_segment_χαμηλi_segment_Χαμηλή_median_engine_size,segment_profile,segment,Χαμηλή,kpi_card,4,segment_Χαμηλή_median_engine_size,Διάμεσος κυβισμός,Τεχνικά χαρακτηριστικά,median_engine_size,1200.0,"1,200 cc",engine_size,notebook5_price_segment_counts + notebook5_segment_profile_summary
card_segment_χαμηλi_segment_Χαμηλή_mean_horsepower,segment_profile,segment,Χαμηλή,kpi_card,5,segment_Χαμηλή_mean_horsepower,Μέση ιπποδύναμη,Τεχνικά χαρακτηριστικά,mean_horsepower,94.6,95 hp,horsepower,notebook5_price_segment_counts + notebook5_segment_profile_summary
card_segment_χαμηλi_segment_Χαμηλή_mean_engine_size,segment_profile,segment,Χαμηλή,kpi_card,6,segment_Χαμηλή_mean_engine_size,Μέσος κυβισμός,Τεχνικά χαρακτηριστικά,mean_engine_size,1227.98,"1,228 cc",engine_size,notebook5_price_segment_counts + notebook5_segment_profile_summary
card_segment_χαμηλi_segment_Χαμηλή_median_price,segment_profile,segment,Χαμηλή,kpi_card,7,segment_Χαμηλή_median_price,Διάμεση τιμή,Τιμή,median_price,13750.0,"€13,750",currency,notebook5_price_segment_counts + notebook5_segment_profile_summary
card_segment_χαμηλi_segment_Χαμηλή_mean_price,segment_profile,segment,Χαμηλή,kpi_card,8,segment_Χαμηλή_mean_price,Μέση τιμή,Τιμή,mean_price,13345.93,"€13,346",currency,notebook5_price_segment_counts + notebook5_segment_profile_summary
card_segment_χαμηλi_segment_Χαμηλή_median_age,segment_profile,segment,Χαμηλή,kpi_card,9,segment_Χαμηλή_median_age,Διάμεση ηλικία,Χρήση οχήματος,median_age,5.0,5.0 έτη,age,notebook5_price_segment_counts + notebook5_segment_profile_summary
